Malignant,Stroma,Immune,Sample_ID,Sample,condition
4.026739006349338,65.67650745267419,30.29675354097648,GSM5016112,GSM5016112,risk category: High
2.2367627268086663,74.47577945280854,23.28745782038279,GSM5016113,GSM5016113,risk category: Average
3.961775529675454,70.9959463484323,25.04227812189224,GSM5016114,GSM5016114,risk category: Average
1.2027306263707012,65.47450020917054,33.32276916445876,GSM5016115,GSM5016115,risk category: Average
25.319128043990567,25.517151086671902,49.16372086933753,GSM5016116,GSM5016116,risk category: High
7.929772624480899,45.62476871839151,46.44545865712759,GSM5016117,GSM5016117,risk category: Average
6.546246420367279,52.53550862874064,40.91824495089208,GSM5016118,GSM5016118,risk category: Average
4.529450834944837,62.84392615102479,32.62662301403037,GSM5016119,GSM5016119,risk category: High
1.8028727418813082,76.36442067689228,21.832706581226418,GSM5016120,GSM5016120,risk category: Average
3.2626815908549647,69.74215224989219,26.995166159252847,GSM5016121,GSM5016121,risk category: High
4.597980915502696,65.71594523579033,29.68607384870696,GSM5016122,GSM5016122,risk category: High
1.6939111575226928,66.6072576110531,31.69883123142421,GSM5016123,GSM5016123,risk category: Average
20.571222691690405,30.526350266941787,48.90242704136781,GSM5016124,GSM5016124,risk category: Average
1.934053053259718,64.382854593043,33.68309235369728,GSM5016125,GSM5016125,risk category: Average
1.0852731063959882,65.68368168014005,33.231045213463965,GSM5016126,GSM5016126,risk category: Average
1.0835794158397827,63.82097322715631,35.09544735700391,GSM5016127,GSM5016127,risk category: Average
1.6714814409968946,73.94587673136681,24.382641827636288,GSM5016128,GSM5016128,risk category: Average
1.3387582177603277,63.61407774592065,35.04716403631902,GSM5016129,GSM5016129,risk category: Average
1.5233439782950373,71.87770207173243,26.598953949972525,GSM5016130,GSM5016130,risk category: Average
4.272965030062822,67.60279328102672,28.124241688910462,GSM5016131,GSM5016131,risk category: High
8.474788547763575,60.61853432080624,30.9066771314302,GSM5016132,GSM5016132,risk category: Average
12.673279654685816,53.38466008134806,33.94206026396613,GSM5016133,GSM5016133,risk category: High
10.409108994312726,65.632972125354,23.957918880333285,GSM5016134,GSM5016134,risk category: Average
1.6738848381850395,72.92058793072992,25.405527231085046,GSM5016135,GSM5016135,risk category: High
20.35140354507207,41.62011173184357,38.02848472308435,GSM5016136,GSM5016136,risk category: High
2.848211300568372,66.70879304580407,30.442995653627552,GSM5016137,GSM5016137,risk category: High
9.914198569025967,53.75179346844921,36.33400796252482,GSM5016138,GSM5016138,risk category: High
3.971772576783402,63.83132281678523,32.19690460643137,GSM5016139,GSM5016139,risk category: High
7.487989603417236,53.98872993384961,38.52328046273315,GSM5016140,GSM5016140,risk category: High
4.842436458384547,77.36263376104091,17.79492978057455,GSM5016141,GSM5016141,risk category: Average
6.993069863270277,54.42442404944746,38.58250608728226,GSM5016142,GSM5016142,risk category: High
7.701510882143348,54.40810162333204,37.89038749452461,GSM5016143,GSM5016143,risk category: Average
4.862106183821202,69.3656140089696,25.77227980720919,GSM5016144,GSM5016144,risk category: High
1.5017132249113776,69.17755329758765,29.320733477500966,GSM5016145,GSM5016145,risk category: Average
2.171899453831165,73.81948595337717,24.00861459279167,GSM5016146,GSM5016146,risk category: Average
1.2475939852749824,71.60840265565824,27.144003359066787,GSM5016147,GSM5016147,risk category: Average
2.20244883906092,66.7432377181468,31.054313442792285,GSM5016148,GSM5016148,risk category: Average
4.598421327436347,58.52206763106975,36.87951104149391,GSM5016149,GSM5016149,risk category: Average
4.733061811768255,70.14017010710016,25.12676808113158,GSM5016150,GSM5016150,risk category: Average
4.4228336418652585,79.58511817831028,15.992048179824463,GSM5016151,GSM5016151,risk category: Average
1.3624486187579494,77.09005511737625,21.5474962638658,GSM5016152,GSM5016152,risk category: Average
2.7702465569572405,62.012565033109524,35.21718840993325,GSM5016153,GSM5016153,risk category: Average
2.0173757990780956,69.6960499775531,28.286574223368806,GSM5016154,GSM5016154,risk category: High
6.275095755043392,61.235184964805335,32.48971928015128,GSM5016155,GSM5016155,risk category: High
4.630170340383834,65.80424217829818,29.56558748131799,GSM5016156,GSM5016156,risk category: High
2.584663216513507,75.8495838170763,21.565752966410205,GSM5016157,GSM5016157,risk category: Average
16.341216792950842,19.23546637601606,64.42331683103309,GSM5016158,GSM5016158,risk category: High
5.654597971384433,69.1066030765097,25.238798952105867,GSM5016159,GSM5016159,risk category: High
4.013295030210436,63.0473737033079,32.93933126648165,GSM5016160,GSM5016160,risk category: High
1.3416144672116639,63.82524684149061,34.83313869129774,GSM5016161,GSM5016161,risk category: Average
2.1253858130070196,61.1995028816476,36.675111305345396,GSM5016162,GSM5016162,risk category: Average
5.290156092648538,64.62817849949647,30.081665407854985,GSM5016163,GSM5016163,risk category: Average
2.2935198414527362,75.51620039636815,22.190279762179113,GSM5016164,GSM5016164,risk category: High
6.5030095597781195,54.01683174608939,39.480158694132506,GSM5016165,GSM5016165,risk category: High
3.997390056113793,74.90799947801122,21.09461046587499,GSM5016166,GSM5016166,risk category: Average
1.7271933710866736,74.29892398594558,23.97388264296775,GSM5016167,GSM5016167,risk category: Average
2.90781000184724,74.15202145345911,22.94016854469365,GSM5016168,GSM5016168,risk category: Average
2.133588783418968,62.59930138272035,35.26710983386068,GSM5016169,GSM5016169,risk category: High
6.061455761563134,68.62514447506823,25.31339976336865,GSM5016170,GSM5016170,risk category: High
1.9150570676031604,71.72581485952591,26.359128072870945,GSM5016171,GSM5016171,risk category: High
15.056895944941928,53.98467133304656,30.95843272201151,GSM5016172,GSM5016172,risk category: Average
9.314264759809312,45.08484664891609,45.60088859127459,GSM5016173,GSM5016173,risk category: Average
6.95045197369417,60.402460998026555,32.64708702827927,GSM5016174,GSM5016174,risk category: High
8.288062312287533,33.10340275256608,58.608534935146395,GSM5016175,GSM5016175,risk category: High
8.327587096532088,54.45415441193716,37.21825849153075,GSM5016176,GSM5016176,risk category: Average
11.341851480620079,50.78872334835199,37.86942517102792,GSM5016177,GSM5016177,risk category: High
9.647046306886189,50.600668493053526,39.75228520006029,GSM5016178,GSM5016178,risk category: High
3.628962883699461,65.79677304294916,30.574264073351383,GSM5016179,GSM5016179,risk category: Average
5.603395452577226,58.65039747056757,35.74620707685521,GSM5016180,GSM5016180,risk category: Average
3.5913210914385014,64.2225144413657,32.1861644671958,GSM5016181,GSM5016181,risk category: High
2.2993351710718346,72.54256526674233,25.158099562185832,GSM5016182,GSM5016182,risk category: High
1.6118212095486302,64.82430258306964,33.56387620738172,GSM5016183,GSM5016183,risk category: Average
3.4278893017079413,68.8876488620792,27.684461836212876,GSM5016184,GSM5016184,risk category: Average
3.221494702503632,76.8887081773528,19.889797120143584,GSM5016185,GSM5016185,risk category: Average
1.6614321099580696,73.04371934141722,25.294848548624714,GSM5016186,GSM5016186,risk category: Average
1.1134468612485982,69.47688783954442,29.40966529920698,GSM5016187,GSM5016187,risk category: High
1.6210717085184099,70.03741362345104,28.34151466803053,GSM5016188,GSM5016188,risk category: Average
7.138348942030001,57.44977909815947,35.41187195981054,GSM5016189,GSM5016189,risk category: Average
3.7276338188008324,68.48723283525628,27.785133345942892,GSM5016190,GSM5016190,risk category: High
1.46375898146981,74.85743098449514,23.67881003403505,GSM5016191,GSM5016191,risk category: Average
3.041332411620018,66.23764127132131,30.721026317058666,GSM5016192,GSM5016192,risk category: Average
4.579026110738776,68.22437498730682,27.19659890195442,GSM5016193,GSM5016193,risk category: High
0.903229516786585,70.04102393701996,29.055746546193472,GSM5016194,GSM5016194,risk category: High
3.2050136018593225,69.06168914315535,27.733297254985345,GSM5016195,GSM5016195,risk category: Average
0.5288809486454062,73.41323062752105,26.057888423833557,GSM5016196,GSM5016196,risk category: Average
3.954819657390614,57.51625131257641,38.528929030032984,GSM5016197,GSM5016197,risk category: High
3.63980283863304,61.68716933992259,34.673027821444364,GSM5016198,GSM5016198,risk category: Average
4.8614625225273205,57.899432711002206,37.23910476647047,GSM5016199,GSM5016199,risk category: Average
1.558782062380963,68.4281085359519,30.013109401667126,GSM5016200,GSM5016200,risk category: Average
1.1931659909003682,67.65813447233485,31.14869953676479,GSM5016201,GSM5016201,risk category: Average
1.068859300148898,74.72853449898147,24.20260620086962,GSM5016202,GSM5016202,risk category: Average
2.8802062422078065,76.27768503452631,20.84210872326588,GSM5016203,GSM5016203,risk category: High
13.132757787250359,57.52437947689493,29.34286273585471,GSM5016204,GSM5016204,risk category: Average
5.167954415655177,58.40527003341365,36.42677555093119,GSM5016205,GSM5016205,risk category: Average
0.9366226516775664,69.00979217802418,30.05358517029824,GSM5016206,GSM5016206,risk category: Average
2.253964063480594,65.5587899503725,32.187245986146905,GSM5016207,GSM5016207,risk category: Average
1.017798703115685,74.8423908415149,24.139810455369425,GSM5016208,GSM5016208,risk category: High
0.920251482517205,71.38805543041873,27.691693087064067,GSM5016209,GSM5016209,risk category: High
0.6813347870381954,67.94866753650646,31.36999767645535,GSM5016210,GSM5016210,risk category: High
7.343058064161219,64.20981213727089,28.44712979856789,GSM5016211,GSM5016211,risk category: High
